MonthlyCharges,tenure,TotalCharges,Churn_Yes
29.85,1,29.85,False
56.95,34,1889.5,False
53.85,2,108.15,True
42.3,45,1840.75,False
70.7,2,151.65,True
99.65,8,820.5,True
89.1,22,1949.4,False
29.75,10,301.9,False
104.8,28,3046.05,True
56.15,62,3487.95,False
49.95,13,587.45,False
18.95,16,326.8,False
100.35,58,5681.1,False
103.7,49,5036.3,True
105.5,25,2686.05,False
113.25,69,7895.15,False
20.65,52,1022.95,False
106.7,71,7382.25,False
55.2,10,528.35,True
90.05,21,1862.9,False
39.65,1,39.65,True
19.8,12,202.25,False
20.15,1,20.15,True
59.9,58,3505.1,False
59.6,49,2970.3,False
55.3,30,1530.6,False
99.35,47,4749.15,True
30.2,1,30.2,True
90.25,72,6369.45,False
64.7,17,1093.1,True
96.35,71,6766.95,False
95.5,2,181.65,False
66.15,27,1874.45,False
20.2,1,20.2,False
45.25,1,45.25,False
99.9,72,7251.7,False
69.7,5,316.9,True
74.8,46,3548.3,False
106.35,34,3549.25,True
97.85,11,1105.4,True
49.55,10,475.7,False
69.2,70,4872.35,False
20.75,17,418.25,False
79.85,63,4861.45,False
76.2,13,981.45,False
84.5,49,3906.7,False
49.25,2,97.0,False
80.65,2,144.15,True
79.75,52,4217.8,False
64.15,69,4254.1,False
90.25,43,3838.75,False
99.1,15,1426.4,True
69.5,25,1752.65,False
80.65,8,633.3,True
74.85,60,4456.35,False
95.45,18,1752.55,True
99.65,63,6311.2,False
108.45,66,7076.35,False
24.95,34,894.3,False
107.5,72,7853.7,False
100.5,47,4707.1,False
89.9,60,5450.7,False
42.1,72,2962.0,False
54.4,18,957.1,False
94.4,9,857.25,True
75.3,3,244.1,False
78.9,47,3650.35,False
79.2,31,2497.2,False
20.15,50,930.9,False
79.85,10,887.35,False
49.05,1,49.05,False
20.4,52,1090.65,False
111.6,64,7099.0,False
24.25,62,1424.6,False
64.5,3,177.4,False
110.5,56,6139.5,False
55.65,46,2688.85,False
54.65,8,482.25,False
74.75,30,2111.3,False
25.9,45,1216.6,False
79.35,1,79.35,True
50.55,11,565.35,False
75.15,7,496.9,True
103.8,42,4327.5,False
20.15,49,973.35,False
99.3,9,918.75,False
62.15,35,2215.45,False
20.65,48,1057.0,False
19.95,46,927.1,False
33.75,29,1009.25,False
82.05,30,2570.2,False
74.7,1,74.7,False
84.0,66,5714.25,False
111.05,65,7107.0,False
100.9,72,7459.05,False
78.95,12,927.35,True
66.85,71,4748.7,False
21.05,5,113.85,True
21.0,52,1107.2,False
98.5,25,2514.5,True
20.2,1,20.2,False
19.45,1,19.45,False
95.0,38,3605.6,False
45.55,66,3027.25,False
110.0,68,7611.85,True
24.3,5,100.2,False
104.15,72,7303.05,False
30.15,32,927.65,False
94.35,43,3921.3,False
19.4,72,1363.25,False
96.75,55,5238.9,True
57.95,52,3042.25,False
91.65,43,3954.1,False
76.5,37,2868.15,True
54.6,64,3423.5,False
89.85,3,248.4,False
31.05,36,1126.35,False
100.25,10,1064.65,True
